How will you use Stata from 03/26/2024-05/17/2024?,What operating system will you use locally or remotely?,"Do you have any experience using Stata, SAS, R, Python, or any other statistical software?"
Locally on my laptop,MacOSX,"Competent User. I am proficient in using Stata, SAS, R, Python, etc. for data exploration, descriptive statistics, basic inference (t-tests, chi-square tests), and regression"
Remotely on another desktop or terminal,Windows,Basic Knowledge. I have a general understanding of basic commands but I require asistance to perform tasks.
Remotely on another desktop or terminal,Windows,"Competent User. I am proficient in using Stata, SAS, R, Python, etc. for data exploration, descriptive statistics, basic inference (t-tests, chi-square tests), and regression"
Locally on my laptop,Windows,Basic Knowledge. I have a general understanding of basic commands but I require asistance to perform tasks.
Locally on my laptop,MacOSX,"Expert User. I can write custom programs, macros, ado-files in Stata. Or I am an expert user of SAS, R, Python, etc. but have little to no experience with Stata."
Locally on my laptop,Windows,Novice User. I am familiar with basic commands and can import data and do basic data cleaning. But I require guidance for more complex analyses.
Remotely on another desktop or terminal,Windows,"No Experience. I have no prior experience with Stata and am unfamiliar with the software. Also, I have no experience with other statistical software such as SAS, R, Python, etc."
Remotely on another desktop or terminal,MacOSX,"No Experience. I have no prior experience with Stata and am unfamiliar with the software. Also, I have no experience with other statistical software such as SAS, R, Python, etc."
Locally on my laptop,"MacOSX;
Windows",Novice User. I am familiar with basic commands and can import data and do basic data cleaning. But I require guidance for more complex analyses.
Remotely on another desktop or terminal,Windows,"No Experience. I have no prior experience with Stata and am unfamiliar with the software. Also, I have no experience with other statistical software such as SAS, R, Python, etc."
Locally on my laptop,Windows,Basic Knowledge. I have a general understanding of basic commands but I require asistance to perform tasks.
Locally on my laptop,MacOSX,"Advanced User. I can do multivariable regression and understand various statistical modeling options and techniques available in Stata, SAS, R, etc."
Locally on my laptop,MacOSX,Novice User. I am familiar with basic commands and can import data and do basic data cleaning. But I require guidance for more complex analyses.
"Locally on my laptop;
Remotely on another desktop or terminal","MacOSX;
Windows",Basic Knowledge. I have a general understanding of basic commands but I require asistance to perform tasks.
Locally on my laptop,Windows,"Competent User. I am proficient in using Stata, SAS, R, Python, etc. for data exploration, descriptive statistics, basic inference (t-tests, chi-square tests), and regression"
Locally on my laptop,Windows,Novice User. I am familiar with basic commands and can import data and do basic data cleaning. But I require guidance for more complex analyses.
Locally on my laptop,MacOSX,"Competent User. I am proficient in using Stata, SAS, R, Python, etc. for data exploration, descriptive statistics, basic inference (t-tests, chi-square tests), and regression"
Locally on my laptop,MacOSX,Basic Knowledge. I have a general understanding of basic commands but I require asistance to perform tasks.
Locally on my laptop,MacOSX,"Advanced User. I can do multivariable regression and understand various statistical modeling options and techniques available in Stata, SAS, R, etc."
Remotely on another desktop or terminal,Windows,"Basic Knowledge. I have a general understanding of basic commands but I require asistance to perform tasks.;
Novice User. I am familiar with basic commands and can import data and do basic data cleaning. But I require guidance for more complex analyses."
Remotely on another desktop or terminal,Windows,"Novice User. I am familiar with basic commands and can import data and do basic data cleaning. But I require guidance for more complex analyses.;
Competent User. I am proficient in using Stata, SAS, R, Python, etc. for data exploration, descriptive statistics, basic inference (t-tests, chi-square tests), and regression"
